date,ADS_Index
1960:11:01,-1.71248
1960:11:02,-1.75646
1960:11:03,-1.79938
1960:11:04,-1.84126
1960:11:05,-1.8821
1960:11:06,-1.92192
1960:11:07,-1.96073
1960:11:08,-1.99854
1960:11:09,-2.03537
1960:11:10,-2.07122
1960:11:11,-2.10611
1960:11:12,-2.14004
1960:11:13,-2.17303
1960:11:14,-2.20509
1960:11:15,-2.23622
1960:11:16,-2.26644
1960:11:17,-2.29575
1960:11:18,-2.32417
1960:11:19,-2.3517
1960:11:20,-2.37835
1960:11:21,-2.40412
1960:11:22,-2.42904
1960:11:23,-2.45309
1960:11:24,-2.4763
1960:11:25,-2.49867
1960:11:26,-2.5202
1960:11:27,-2.5409
1960:11:28,-2.56078
1960:11:29,-2.57984
1960:11:30,-2.59809
1960:12:01,-2.61554
1960:12:02,-2.63001
1960:12:03,-2.6415
1960:12:04,-2.65003
1960:12:05,-2.65559
1960:12:06,-2.65818
1960:12:07,-2.6578
1960:12:08,-2.65446
1960:12:09,-2.64816
1960:12:10,-2.63888
1960:12:11,-2.62664
1960:12:12,-2.61142
1960:12:13,-2.59322
1960:12:14,-2.57203
1960:12:15,-2.54786
1960:12:16,-2.52068
1960:12:17,-2.4905
1960:12:18,-2.4573
1960:12:19,-2.42108
1960:12:20,-2.38182
1960:12:21,-2.33951
1960:12:22,-2.29414
1960:12:23,-2.2457
1960:12:24,-2.19416
1960:12:25,-2.13952
1960:12:26,-2.08176
1960:12:27,-2.02086
1960:12:28,-1.9568
1960:12:29,-1.88957
1960:12:30,-1.81913
1960:12:31,-1.74548
1961:01:01,-1.66859
1961:01:02,-1.59467
1961:01:03,-1.5237
1961:01:04,-1.45566
1961:01:05,-1.39053
1961:01:06,-1.32829
1961:01:07,-1.26891
1961:01:08,-1.21239
1961:01:09,-1.1587
1961:01:10,-1.10783
1961:01:11,-1.05977
1961:01:12,-1.01449
1961:01:13,-0.97199
1961:01:14,-0.932251
1961:01:15,-0.895261
1961:01:16,-0.861011
1961:01:17,-0.82949
1961:01:18,-0.800687
1961:01:19,-0.774596
1961:01:20,-0.751207
1961:01:21,-0.730513
1961:01:22,-0.712509
1961:01:23,-0.697189
1961:01:24,-0.684548
1961:01:25,-0.674582
1961:01:26,-0.667289
1961:01:27,-0.662667
1961:01:28,-0.660713
1961:01:29,-0.661427
1961:01:30,-0.66481
1961:01:31,-0.670862
1961:02:01,-0.679586
1961:02:02,-0.686422
1961:02:03,-0.691374
1961:02:04,-0.694441
1961:02:05,-0.695625
1961:02:06,-0.694927
1961:02:07,-0.692346
1961:02:08,-0.687882
