date,GDP,OUTBS,OUTNFB,GPDIC1,INDPRO,CMRMTSPLx,IPMAT,FPIx,IPFINAL,IPDMAT,ADS_Index_lag_1,ADS_Index_lag_2,ADS_Index_lag_3,ADS_Index_lag_4,ADS_Index_lag_5
1960-09-01,0.004880816,-0.002543922,0.000345205,0.00397773,-0.016579015,-0.007341153,-0.021350655,-0.021665598,-0.013084998,-0.028768197,-0.8046025483870969,-0.9575551612903225,-1.6084833333333337,-1.5461729032258067,-0.5894275333333334
1960-12-01,-0.012917411,-0.117410877,-0.022572221,-0.019354704,-0.024400241,-0.012685181,-0.042882655,-0.001998884,-0.011300421,-0.066879961,-2.2172463333333337,-1.2831793548387098,-1.1559766666666669,-0.8046025483870969,-0.9575551612903225
1961-03-01,0.006727609,0.025621417,0.007152519,0.005707877,-0.015256251,-0.017594872,-0.020689217,-0.008522702,-0.014603898,-0.045300224,-0.5503929642857143,-0.9705526451612905,-2.399978387096774,-2.2172463333333337,-1.2831793548387098
1961-06-01,0.016832324,0.067722038,0.023669061,0.020260197,0.038876978,0.015192505,0.058063751,0.0162645,0.025904319,0.080107362,1.4887709677419356,1.0705664999999998,0.38023324193548386,-0.5503929642857143,-0.9705526451612905
1961-09-01,0.019014468,0.074868305,0.022731456,0.020851511,0.031406679,0.026762685,0.047383156,0.023736264,0.018808202,0.073791993,0.8673943225806451,1.1728254838709677,1.4653710000000002,1.4887709677419356,1.0705664999999998
1961-12-01,0.019421273,0.016410318,0.021080132,0.019289689,0.034467967,0.02463301,0.039104453,0.031114202,0.034013274,0.040048161,1.6404619999999999,1.3723426129032257,0.44701866666666673,0.8673943225806451,1.1728254838709677
1962-03-01,0.017678797,0.052512354,0.020002829,0.019667845,0.014827041,0.015202027,0.017215455,0.01895018,0.015318079,0.024772168,1.098923785714286,-0.09902608161290322,0.7472376612903225,1.6404619999999999,1.3723426129032257
1962-06-01,0.008996131,-0.007916511,0.007784215,0.008560158,0.009643291,0.001575643,-0.00534858,0.027965466,0.021836397,-0.012845261,-0.2598802548387097,0.6119261999999999,0.8156576774193548,1.098923785714286,-0.09902608161290322
1962-09-01,0.012210229,0.016850147,0.014447156,0.012808289,0.010607243,0.002574272,0.006062593,0.008047119,0.013367524,0.00394189,0.23684716129032257,0.3604046580645162,-0.3124759236666668,-0.2598802548387097,0.6119261999999999
1962-12-01,0.003283211,-0.029694063,0.001203275,0.001971978,0.008408545,0.014663556,0.010249343,-0.00303155,0.006964216,0.014208976,-0.1493258,-0.03412700290322581,0.30127773333333335,0.23684716129032257,0.3604046580645162
1963-03-01,0.010856905,0.051275586,0.008952798,0.011648415,0.018315955,0.005200414,0.018125624,0.012985473,0.02365742,0.015054314,0.6949529642857143,0.2863138912903226,-0.23317429032258066,-0.1493258,-0.03412700290322581
1963-06-01,0.011158748,0.01578329,0.01384301,0.011463633,0.026028852,0.018643557,0.040283661,0.043608064,0.009779966,0.054759658,0.6224223548387094,0.9246844,0.6474606774193548,0.6949529642857143,0.2863138912903226
1963-09-01,0.021746089,0.03032394,0.027024584,0.024569047,0.006650503,0.013350635,0.000997172,0.024347881,0.011016684,-0.012570524,0.33363570322580643,0.013880920774193548,0.1916134033333333,0.6224223548387094,0.9246844
1963-12-01,0.006534562,0.012068567,0.007038792,0.006552555,0.01676373,0.008540609,0.018064614,0.029441227,0.015147989,0.024997749,0.016934512333333335,0.689718935483871,0.9259311666666666,0.33363570322580643,0.013880920774193548
1964-03-01,0.020863619,0.03674244,0.026708542,0.02425655,0.013596872,0.016259479,0.016146283,0.033991839,0.010730163,0.013867686,0.9811160000000001,0.6424497419354838,0.03419233225806453,0.016934512333333335,0.689718935483871
1964-06-01,0.010828209,-0.00360741,0.009858426,0.010584127,0.023202849,0.009953412,0.024363495,-0.001900197,0.022389634,0.029367109,0.7070403870967745,0.7655427333333334,0.5301300967741936,0.9811160000000001,0.6424497419354838
1964-09-01,0.015502227,0.023070992,0.016670595,0.017255183,0.015892992,0.017341276,0.027745359,0.016145394,0.010382411,0.036359789,0.8085353548387098,0.6913216451612904,0.4229792333333334,0.7070403870967745,0.7655427333333334
1964-12-01,0.003084168,0.009453695,4.68e-05,0.001350879,0.015040677,0.007142292,0.022547217,0.008606338,0.011202513,0.025470526,1.739487066666667,-0.682882580645161,0.3082280975666667,0.8085353548387098,0.6913216451612904
1965-03-01,0.023909529,0.091069551,0.029577444,0.029040736,0.037073309,0.027919007,0.037057775,0.0441391,0.041230186,0.051585861,1.1255817857142858,1.111564516129032,1.4706429032258068,1.739487066666667,-0.682882580645161
1965-06-01,0.012553584,0.002623936,0.014489409,0.01267091,0.022921442,0.017353499,0.028241453,0.027898051,0.021450084,0.034138241,0.8273439999999999,0.8924821666666667,1.2062106451612902,1.1255817857142858,1.111564516129032
1965-09-01,0.021989138,0.034225269,0.022641139,0.02395509,0.020725955,0.010827245,0.0220345,0.026747661,0.019291059,0.028579609,0.9212364838709679,1.1413800000000003,0.8778851999999998,0.8273439999999999,0.8924821666666667
1965-12-01,0.02277901,0.006600884,0.026671706,0.024883974,0.020027669,0.031070144,0.009486949,0.022975493,0.027559584,-0.000784087,1.1348316666666665,1.1073511290322582,0.8462948,0.9212364838709679,1.1413800000000003
1966-03-01,0.024050767,0.076863819,0.027764371,0.02751159,0.028239247,0.02116967,0.033173864,0.036736905,0.027091737,0.04092883,1.2712507142857146,1.1660874193548387,1.3709229032258063,1.1348316666666665,1.1073511290322582
