date,GDP,GPDIC1,OUTNFB,OUTBS,INDPRO,CMRMTSPLx,IPMAT,FPIx,IPFINAL,IPDMAT
9/1/1970,0.009173548,0.016142258,0.010656767,0.010795675,-0.003589102,0.006425564,0.0066159,0.016721276,-0.013515742,0.003317555
12/1/1970,-0.01077427,-0.05455395,-0.016835289,-0.015956302,-0.021854324,-0.012560876,-0.02386693,-0.000368074,-0.023931943,-0.058766033
3/1/1971,0.026797629,0.110275558,0.033755051,0.033295239,0.019097644,0.029954501,0.023413282,0.0201592,0.018900452,0.051808776
6/1/1971,0.005396532,0.027980646,0.006190625,0.00636231,0.009015695,0.017857704,0.015200037,0.036713086,0.003390688,0.013070187
9/1/1971,0.008196166,0.012059116,0.00948283,0.00943251,0.003077746,0.006286146,-0.01514298,0.017026672,0.013657979,-0.041628693
12/1/1971,0.002355018,-0.027298247,0.001964321,0.001783231,0.022916182,0.023069484,0.021584935,0.025921094,0.021497089,0.047370555
3/1/1972,0.018222492,0.063814922,0.026720827,0.023767469,0.04154295,0.021154387,0.055197176,0.041810379,0.029529283,0.061677094
6/1/1972,0.022443838,0.055245623,0.026769717,0.028539066,0.018886727,0.020916964,0.021530938,0.017082242,0.01579386,0.031448105
9/1/1972,0.009399595,0.014101847,0.011433692,0.010595992,0.012654114,0.02032605,0.007768549,0.011317768,0.01545685,0.014028624
12/1/1972,0.016605967,0.006250993,0.018879734,0.019811812,0.034395875,0.049969293,0.036738458,0.042866633,0.035370665,0.051953391
3/1/1973,0.024446855,0.05695083,0.037291802,0.031769201,0.027941453,0.027427058,0.032969115,0.03846927,0.024805286,0.053515135
6/1/1973,0.010827683,0.041742798,0.010815335,0.013227247,0.008321745,-0.009098035,0.009778809,0.007691259,0.006189117,0.016602146
9/1/1973,-0.005272903,-0.036933971,-0.002724243,-0.008250456,0.008586245,-0.000458319,0.010039413,-0.002674102,0.006524726,0.016513878
12/1/1973,0.009447486,0.034999962,-0.00125502,0.009973811,0.014820079,0.029145217,0.016446376,-0.008237917,0.015212863,0.01850104
3/1/1974,-0.008634824,-0.058801341,-0.006551617,-0.014442278,-0.008860966,-0.004909845,-0.005255475,-0.019549826,-0.015503739,-0.0192962
6/1/1974,0.002373951,-0.003999583,-0.000316066,0.001459993,0.000589479,-0.004942158,-0.001554383,-0.012304133,0.003814932,-0.000915404
9/1/1974,-0.009496285,-0.053219689,-0.013750296,-0.013924599,-0.003949302,-0.012464141,-0.006976871,-0.016595938,0.004322198,-0.011243486
12/1/1974,-0.003888965,0.006050589,-0.007527782,-0.006970918,-0.040507022,-0.043163249,-0.051488464,-0.05557629,-0.025450316,-0.052486199
3/1/1975,-0.012247703,-0.175639203,-0.024053447,-0.018500283,-0.068360394,-0.040439983,-0.070104664,-0.059076188,-0.067195563,-0.110703629
6/1/1975,0.007120029,-0.030223034,0.00662658,0.007919207,-0.013593996,-0.00981546,-0.025671778,-0.011945436,0.00595328,-0.048589693
9/1/1975,0.016971737,0.074667234,0.021197842,0.021019315,0.024259179,0.01942706,0.021430231,0.023838576,0.029692685,0.016178381
12/1/1975,0.013375227,0.027531066,0.018012761,0.016874954,0.021576141,0.009228328,0.026801243,0.019674524,0.016701446,0.024426623
3/1/1976,0.022238491,0.092110931,0.031014819,0.028610211,0.030289391,0.036424962,0.037652302,0.040079228,0.023036472,0.056431901
6/1/1976,0.007310171,0.038816621,0.009754093,0.008811436,0.01269915,0.01459173,0.016307181,0.016391767,0.008191255,0.03345951
9/1/1976,0.005472205,0.003478577,0.006410085,0.006022565,0.013279618,0.011723543,0.013208513,0.011235376,0.009885038,0.023636245
12/1/1976,0.007222319,0.007453343,0.008284107,0.008472845,0.017876842,0.010872051,0.012300362,0.046368173,0.024158066,0.006410867
3/1/1977,0.01174567,0.045288671,0.016894296,0.015968048,0.020535694,0.028919886,0.019023457,0.033882024,0.02490465,0.022672319
6/1/1977,0.019254528,0.069238008,0.022895332,0.02374275,0.030514848,0.014676884,0.032457286,0.050668586,0.025282067,0.04242038
9/1/1977,0.017882656,0.049364066,0.021089913,0.020941982,0.010738126,0.011231129,0.006143008,0.012582102,0.014535267,0.005428552
12/1/1977,2.19E-05,-0.025405294,-0.003070382,-0.000986013,0.006469856,0.017909254,0.00600316,0.016937372,0.006718615,0.018927639
3/1/1978,0.003186694,0.019302543,0.005121434,0.001183099,-0.002787799,-0.002285681,-0.011201284,0.008808152,0.005579936,0.002634502
6/1/1978,0.03791458,0.062928004,0.048271443,0.047501028,0.03945432,0.045183453,0.046684269,0.066067591,0.034879653,0.037798525
